DateTime, Value
7/7/2017 12:00:00, 20.87
7/7/2017 13:00:00, 21.54
7/7/2017 14:00:00, 21.99
7/7/2017 15:00:00, 22.12
7/7/2017 16:00:00, 22.74
7/7/2017 17:00:00, 22.13
7/7/2017 18:00:00, 21.34
7/7/2017 19:00:00, 19.85
7/7/2017 20:00:00, 18.59
7/7/2017 21:00:00, 18
7/7/2017 22:00:00, 16.78
7/7/2017 23:00:00, 15.31
7/8/2017 00:00:00, 12.43
7/8/2017 01:00:00, 9.03
7/8/2017 02:00:00, 6.05
7/8/2017 03:00:00, 5.27
7/8/2017 04:00:00, 5.68
7/8/2017 05:00:00, 7.25
7/8/2017 06:00:00, 9.04
7/8/2017 07:00:00, 12.07
7/8/2017 08:00:00, 16.65
7/8/2017 09:00:00, 18.04
7/8/2017 10:00:00, 18.68
7/8/2017 11:00:00, 19.33
7/8/2017 12:00:00, 20.24
7/8/2017 13:00:00, 20.8
7/8/2017 14:00:00, 21.33
7/8/2017 15:00:00, 21.28
7/8/2017 16:00:00, 21.79
7/8/2017 17:00:00, 21.64
7/8/2017 18:00:00, 21.77
7/8/2017 19:00:00, 20.72
7/8/2017 20:00:00, 20.07
7/8/2017 21:00:00, 18.85
7/8/2017 22:00:00, 17.48
7/8/2017 23:00:00, 16.06
7/9/2017 00:00:00, 13.54
7/9/2017 01:00:00, 11.45
7/9/2017 02:00:00, 10.81
7/9/2017 03:00:00, 10.53
7/9/2017 04:00:00, 9.27
7/9/2017 05:00:00, 8.41
7/9/2017 06:00:00, 9.71
7/9/2017 07:00:00, 11.18
7/9/2017 08:00:00, 11.53
7/9/2017 09:00:00, 12.27
7/9/2017 10:00:00, 14.17
7/9/2017 11:00:00, 14.89
7/9/2017 12:00:00, 14.89
7/9/2017 13:00:00, 16.02
7/9/2017 14:00:00, 16.37
7/9/2017 15:00:00, 16.16
7/9/2017 16:00:00, 17.94
7/9/2017 17:00:00, 19.38
7/9/2017 18:00:00, 19.05
7/9/2017 19:00:00, 17.72
7/9/2017 20:00:00, 16.59
7/9/2017 21:00:00, 15.34
7/9/2017 22:00:00, 14.8
7/9/2017 23:00:00, 13.67
7/10/2017 00:00:00, 13.06
7/10/2017 01:00:00, 11.73
7/10/2017 02:00:00, 11.11
7/10/2017 03:00:00, 9.96
7/10/2017 04:00:00, 8.69
7/10/2017 05:00:00, 8.22
7/10/2017 06:00:00, 7.87
7/10/2017 07:00:00, 9.73
7/10/2017 08:00:00, 12.08
7/10/2017 09:00:00, 13.4
7/10/2017 10:00:00, 12.85
7/10/2017 11:00:00, 13.22
7/10/2017 12:00:00, 15.42
7/10/2017 13:00:00, 16.13
7/10/2017 14:00:00, 15.9
7/10/2017 15:00:00, 14.37
7/10/2017 16:00:00, 12.72
7/10/2017 17:00:00, 11.53
7/10/2017 18:00:00, 10.88
7/10/2017 19:00:00, 10.46
7/10/2017 20:00:00, 9.35
7/10/2017 21:00:00, 8.81
7/10/2017 22:00:00, 8.54
7/10/2017 23:00:00, 8.45
7/11/2017 00:00:00, 8.28
7/11/2017 01:00:00, 8.07
7/11/2017 02:00:00, 7.77
7/11/2017 03:00:00, 7.4
7/11/2017 04:00:00, 7.26
7/11/2017 05:00:00, 7.16
7/11/2017 06:00:00, 7.25
7/11/2017 07:00:00, 7.52
7/11/2017 08:00:00, 8.15
7/11/2017 09:00:00, 9.33
7/11/2017 10:00:00, 9.93
7/11/2017 11:00:00, 10.57
7/11/2017 12:00:00, 11.26
7/11/2017 13:00:00, 12.62
7/11/2017 14:00:00, 14.07
7/11/2017 15:00:00, 14.74
7/11/2017 16:00:00, 14.83
7/11/2017 17:00:00, 15.49
7/11/2017 18:00:00, 15.89
7/11/2017 19:00:00, 15.67
7/11/2017 20:00:00, 14.24
7/11/2017 21:00:00, 13.43
7/11/2017 22:00:00, 12.37
7/11/2017 23:00:00, 11.62
7/12/2017 00:00:00, 10.92
7/12/2017 01:00:00, 10.09
7/12/2017 02:00:00, 9.68
7/12/2017 03:00:00, 9.28
7/12/2017 04:00:00, 9.03
7/12/2017 05:00:00, 8.71
7/12/2017 06:00:00, 8.11
7/12/2017 07:00:00, 7.74
7/12/2017 08:00:00, 11.61
7/12/2017 09:00:00, 12.18
7/12/2017 10:00:00, 12
7/12/2017 11:00:00, 12.65
7/12/2017 12:00:00, 10.26
7/12/2017 13:00:00, 9.73
7/12/2017 14:00:00, 11.35
7/12/2017 15:00:00, 12.66
7/12/2017 16:00:00, 14.62
7/12/2017 17:00:00, 16.11
7/12/2017 18:00:00, 16.34
7/12/2017 19:00:00, 15.2
7/12/2017 20:00:00, 15.02
7/12/2017 21:00:00, 13.98
7/12/2017 22:00:00, 13.5
7/12/2017 23:00:00, 13.51
7/13/2017 00:00:00, 12.82
7/13/2017 01:00:00, 10.34
7/13/2017 02:00:00, 8.97
7/13/2017 03:00:00, 8.24
7/13/2017 04:00:00, 7.61
7/13/2017 05:00:00, 6.88
7/13/2017 06:00:00, 8.85
7/13/2017 07:00:00, 11.53
7/13/2017 08:00:00, 13.75
7/13/2017 09:00:00, 15.76
7/13/2017 10:00:00, 17
7/13/2017 11:00:00, 18.22
7/13/2017 12:00:00, 18.88
7/13/2017 13:00:00, 19.33
7/13/2017 14:00:00, 20.6
7/13/2017 15:00:00, 21.21
7/13/2017 16:00:00, 21.58
7/13/2017 17:00:00, 21.82
7/13/2017 18:00:00, 21.7
7/13/2017 19:00:00, 21.11
7/13/2017 20:00:00, 20.7
7/13/2017 21:00:00, 20.12
7/13/2017 22:00:00, 18.96
7/13/2017 23:00:00, 16.79
7/14/2017 00:00:00, 12.89
7/14/2017 01:00:00, 9.55
7/14/2017 02:00:00, 7.88
7/14/2017 03:00:00, 7.47
7/14/2017 04:00:00, 7.74
7/14/2017 05:00:00, 8.77
7/14/2017 06:00:00, 10.84
7/14/2017 07:00:00, 13.84
7/14/2017 08:00:00, 16.85
7/14/2017 09:00:00, 19.61
7/14/2017 10:00:00, 21.8
7/14/2017 11:00:00, 22.43
7/14/2017 12:00:00, 22.85
7/14/2017 13:00:00, 24.21
7/14/2017 14:00:00, 24.8
7/14/2017 15:00:00, 24.92
7/14/2017 16:00:00, 23.95
7/14/2017 17:00:00, 23.4
7/14/2017 18:00:00, 20.6
7/14/2017 19:00:00, 18.55
7/14/2017 20:00:00, 18.11
7/14/2017 21:00:00, 18.3
7/14/2017 22:00:00, 17.99
7/14/2017 23:00:00, 17.8
7/15/2017 00:00:00, 16.98
7/15/2017 01:00:00, 13.84
7/15/2017 02:00:00, 15.23
7/15/2017 03:00:00, 14.81
7/15/2017 04:00:00, 13.94
7/15/2017 05:00:00, 13.81
7/15/2017 06:00:00, 13.68
7/15/2017 07:00:00, 14.05
7/15/2017 08:00:00, 14.22
7/15/2017 09:00:00, 14.65
7/15/2017 10:00:00, 15.62
7/15/2017 11:00:00, 17.16
7/15/2017 12:00:00, 19.26
7/15/2017 13:00:00, 20.63
7/15/2017 14:00:00, 21.32
7/15/2017 15:00:00, 21.51
7/15/2017 16:00:00, 21.77
7/15/2017 17:00:00, 21.15
7/15/2017 18:00:00, 20.59
7/15/2017 19:00:00, 19.96
7/15/2017 20:00:00, 19.63
7/15/2017 21:00:00, 18.66
7/15/2017 22:00:00, 17.87
7/15/2017 23:00:00, 15.02
7/16/2017 00:00:00, 11.8
7/16/2017 01:00:00, 7.93
7/16/2017 02:00:00, 7.34
7/16/2017 03:00:00, 6.94
7/16/2017 04:00:00, 8.05
7/16/2017 05:00:00, 8.53
7/16/2017 06:00:00, 9.93
7/16/2017 07:00:00, 12.86
7/16/2017 08:00:00, 14.37
7/16/2017 09:00:00, 15.05
7/16/2017 10:00:00, 15.11
7/16/2017 11:00:00, 14.33
7/16/2017 12:00:00, 13.96
7/16/2017 13:00:00, 14.73
7/16/2017 14:00:00, 16.09
7/16/2017 15:00:00, 16.74
7/16/2017 16:00:00, 17.43
7/16/2017 17:00:00, 18.33
7/16/2017 18:00:00, 17.19
7/16/2017 19:00:00, 15.71
7/16/2017 20:00:00, 14.66
7/16/2017 21:00:00, 15.01
7/16/2017 22:00:00, 14.65
7/16/2017 23:00:00, 14.3
7/17/2017 00:00:00, 13.16
7/17/2017 01:00:00, 12.5
7/17/2017 02:00:00, 11.28
7/17/2017 03:00:00, 10.66
7/17/2017 04:00:00, 10.18
7/17/2017 05:00:00, 10.11
7/17/2017 06:00:00, 10.6
7/17/2017 07:00:00, 11.05
7/17/2017 08:00:00, 12.21
7/17/2017 09:00:00, 13.9
7/17/2017 10:00:00, 15.23
7/17/2017 11:00:00, 16.49
7/17/2017 12:00:00, 17.82
7/17/2017 13:00:00, 18.48
7/17/2017 14:00:00, 18.81
7/17/2017 15:00:00, 18.8
7/17/2017 16:00:00, 19.08
7/17/2017 17:00:00, 18.24
7/17/2017 18:00:00, 19.15
7/17/2017 19:00:00, 20.6
7/17/2017 20:00:00, 19.22
7/17/2017 21:00:00, 18.23
7/17/2017 22:00:00, 16.82
7/17/2017 23:00:00, 14.99
7/18/2017 00:00:00, 11.94
7/18/2017 01:00:00, 9.69
7/18/2017 02:00:00, 7.14
7/18/2017 03:00:00, 6.42
7/18/2017 04:00:00, 6.3
7/18/2017 05:00:00, 7.11
7/18/2017 06:00:00, 7.88
7/18/2017 07:00:00, 10.7
7/18/2017 08:00:00, 14.47
7/18/2017 09:00:00, 17.5
7/18/2017 10:00:00, 19.09
7/18/2017 11:00:00, 20.52
7/18/2017 12:00:00, 21.1
7/18/2017 13:00:00, 21.01
7/18/2017 14:00:00, 21.43
7/18/2017 15:00:00, 21.71
7/18/2017 16:00:00, 21.55
7/18/2017 17:00:00, 21.74
7/18/2017 18:00:00, 20.72
7/18/2017 19:00:00, 19.19
7/18/2017 20:00:00, 17.06
7/18/2017 21:00:00, 16.03
7/18/2017 22:00:00, 15.17
7/18/2017 23:00:00, 14.73
7/19/2017 00:00:00, 14.3
7/19/2017 01:00:00, 13.9
7/19/2017 02:00:00, 12.45
7/19/2017 03:00:00, 11.57
7/19/2017 04:00:00, 11.22
7/19/2017 05:00:00, 11.22
7/19/2017 06:00:00, 11.37
7/19/2017 07:00:00, 12.47
7/19/2017 08:00:00, 13.85
7/19/2017 09:00:00, 16.47
7/19/2017 10:00:00, 18.96
7/19/2017 11:00:00, 19.93
7/19/2017 12:00:00, 20.67
7/19/2017 13:00:00, 21.16
7/19/2017 14:00:00, 20.76
7/19/2017 15:00:00, 15.76
7/19/2017 16:00:00, 14.39
7/19/2017 17:00:00, 17.94
7/19/2017 18:00:00, 19.55
7/19/2017 19:00:00, 17.75
7/19/2017 20:00:00, 17.06
7/19/2017 21:00:00, 16.67
7/19/2017 22:00:00, 15.18
7/19/2017 23:00:00, 13.83
7/20/2017 00:00:00, 13.17
7/20/2017 01:00:00, 12.39
7/20/2017 02:00:00, 11.97
7/20/2017 03:00:00, 12.31
7/20/2017 04:00:00, 12.32
7/20/2017 05:00:00, 11.35
7/20/2017 06:00:00, 11.23
7/20/2017 07:00:00, 11.78
7/20/2017 08:00:00, 11.91
7/20/2017 09:00:00, 8.8
7/20/2017 10:00:00, 7.95
7/20/2017 11:00:00, 7.3
7/20/2017 12:00:00, 6.48
7/20/2017 13:00:00, 5.99
7/20/2017 14:00:00, 6.05
7/20/2017 15:00:00, 6.22
7/20/2017 16:00:00, 6.01
7/20/2017 17:00:00, 5.87
7/20/2017 18:00:00, 5.5
7/20/2017 19:00:00, 4.81
7/20/2017 20:00:00, 4.9
7/20/2017 21:00:00, 4.62
7/20/2017 22:00:00, 3.69
7/20/2017 23:00:00, 3.05
7/21/2017 00:00:00, 2.76
7/21/2017 01:00:00, 2.79
7/21/2017 02:00:00, 2.37
7/21/2017 03:00:00, 1.62
7/21/2017 04:00:00, 1.3
7/21/2017 05:00:00, 0.91
