DateTime, Value
7/8/2017 07:00:00, 89
7/8/2017 08:00:00, 76
7/8/2017 09:00:00, 65
7/8/2017 10:00:00, 56
7/8/2017 11:00:00, 47
7/8/2017 12:00:00, 40
7/8/2017 13:00:00, 37
7/8/2017 14:00:00, 37
7/8/2017 15:00:00, 40
7/8/2017 16:00:00, 40
7/8/2017 17:00:00, 39
7/8/2017 18:00:00, 39
7/8/2017 19:00:00, 39
7/8/2017 20:00:00, 43
7/8/2017 21:00:00, 46
7/8/2017 22:00:00, 48
7/8/2017 23:00:00, 55
7/9/2017 00:00:00, 63
7/9/2017 01:00:00, 74
7/9/2017 02:00:00, 74
7/9/2017 03:00:00, 77
7/9/2017 04:00:00, 73
7/9/2017 05:00:00, 80
7/9/2017 06:00:00, 83
7/9/2017 07:00:00, 78
7/9/2017 08:00:00, 74
7/9/2017 09:00:00, 74
7/9/2017 10:00:00, 69
7/9/2017 11:00:00, 63
7/9/2017 12:00:00, 63
7/9/2017 13:00:00, 63
7/9/2017 14:00:00, 63
7/9/2017 15:00:00, 63
7/9/2017 16:00:00, 67
7/9/2017 17:00:00, 62
7/9/2017 18:00:00, 62
7/9/2017 19:00:00, 65
7/9/2017 20:00:00, 68
7/9/2017 21:00:00, 71
7/9/2017 22:00:00, 79
7/9/2017 23:00:00, 83
7/10/2017 00:00:00, 86
7/10/2017 01:00:00, 89
7/10/2017 02:00:00, 93
7/10/2017 03:00:00, 96
7/10/2017 04:00:00, 96
7/10/2017 05:00:00, 96
7/10/2017 06:00:00, 99
7/10/2017 07:00:00, 100
7/10/2017 08:00:00, 95
7/10/2017 09:00:00, 89
7/10/2017 10:00:00, 86
7/10/2017 11:00:00, 87
7/10/2017 12:00:00, 81
7/10/2017 13:00:00, 78
7/10/2017 14:00:00, 73
7/10/2017 15:00:00, 73
7/10/2017 16:00:00, 80
7/10/2017 17:00:00, 84
7/10/2017 18:00:00, 88
7/10/2017 19:00:00, 91
7/10/2017 20:00:00, 94
7/10/2017 21:00:00, 96
7/10/2017 22:00:00, 96
7/10/2017 23:00:00, 98
7/11/2017 00:00:00, 100
7/11/2017 01:00:00, 100
7/11/2017 02:00:00, 100
7/11/2017 03:00:00, 100
7/11/2017 04:00:00, 100
7/11/2017 05:00:00, 100
7/11/2017 06:00:00, 100
7/11/2017 07:00:00, 100
7/11/2017 08:00:00, 100
7/11/2017 09:00:00, 100
7/11/2017 10:00:00, 99
7/11/2017 11:00:00, 97
7/11/2017 12:00:00, 92
7/11/2017 13:00:00, 85
7/11/2017 14:00:00, 80
7/11/2017 15:00:00, 76
7/11/2017 16:00:00, 76
7/11/2017 17:00:00, 75
7/11/2017 18:00:00, 74
7/11/2017 19:00:00, 73
7/11/2017 20:00:00, 75
7/11/2017 21:00:00, 81
7/11/2017 22:00:00, 83
7/11/2017 23:00:00, 85
7/12/2017 00:00:00, 90
7/12/2017 01:00:00, 95
7/12/2017 02:00:00, 97
7/12/2017 03:00:00, 99
7/12/2017 04:00:00, 100
7/12/2017 05:00:00, 100
7/12/2017 06:00:00, 100
7/12/2017 07:00:00, 100
7/12/2017 08:00:00, 100
7/12/2017 09:00:00, 93
7/12/2017 10:00:00, 88
7/12/2017 11:00:00, 87
7/12/2017 12:00:00, 89
7/12/2017 13:00:00, 99
7/12/2017 14:00:00, 100
7/12/2017 15:00:00, 100
7/12/2017 16:00:00, 93
7/12/2017 17:00:00, 85
7/12/2017 18:00:00, 83
7/12/2017 19:00:00, 83
7/12/2017 20:00:00, 84
7/12/2017 21:00:00, 88
7/12/2017 22:00:00, 90
7/12/2017 23:00:00, 90
7/13/2017 00:00:00, 92
7/13/2017 01:00:00, 93
7/13/2017 02:00:00, 97
7/13/2017 03:00:00, 94
7/13/2017 04:00:00, 100
7/13/2017 05:00:00, 100
7/13/2017 06:00:00, 100
7/13/2017 07:00:00, 100
7/13/2017 08:00:00, 89
7/13/2017 09:00:00, 83
7/13/2017 10:00:00, 77
7/13/2017 11:00:00, 70
7/13/2017 12:00:00, 68
7/13/2017 13:00:00, 66
7/13/2017 14:00:00, 64
7/13/2017 15:00:00, 59
7/13/2017 16:00:00, 58
7/13/2017 17:00:00, 56
7/13/2017 18:00:00, 54
7/13/2017 19:00:00, 56
7/13/2017 20:00:00, 57
7/13/2017 21:00:00, 58
7/13/2017 22:00:00, 63
7/13/2017 23:00:00, 73
7/14/2017 00:00:00, 78
7/14/2017 01:00:00, 91
7/14/2017 02:00:00, 96
